[.2025-07-24 14:24:35,282]1025httpx -INFO-HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[.2025-07-24 14:24:36,236]1025httpx -INFO-HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[.2025-07-24 14:24:37,048]1025httpx -INFO-HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[.2025-07-24 14:24:37,053]107dagshub -INFO-Accessing as BALAKA-BHUVANESWARI
[.2025-07-24 14:24:37,852]1025httpx -INFO-HTTP Request: GET https://dagshub.com/api/v1/repos/BALAKA-BHUVANESWARI/Network-Security "HTTP/1.1 200 OK"
[.2025-07-24 14:24:38,604]1025httpx -INFO-HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[.2025-07-24 14:24:38,608]107dagshub -INFO-Initialized MLflow to track repo "BALAKA-BHUVANESWARI/Network-Security"
[.2025-07-24 14:24:38,611]107dagshub -INFO-Repository BALAKA-BHUVANESWARI/Network-Security initialized!
[.2025-07-24 14:24:38,612]22root -INFO-Initiate the data ingestion
[.2025-07-24 14:24:40,975]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 14:24:40,975]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 14:24:40,975]78root -INFO-Exporting train and test file path.
[.2025-07-24 14:24:41,065]87root -INFO-Exported train and test file path.
[.2025-07-24 14:24:41,067]24root -INFO-Data Initiation Completed
[.2025-07-24 14:24:41,101]28root -INFO-Initiate the data Validation
[.2025-07-24 14:24:41,179]32root -INFO-Required number of columns:2
[.2025-07-24 14:24:41,179]33root -INFO-Data frame has columns:31
[.2025-07-24 14:24:41,179]32root -INFO-Required number of columns:2
[.2025-07-24 14:24:41,179]33root -INFO-Data frame has columns:31
[.2025-07-24 14:24:41,444]30root -INFO-data Validation Completed
[.2025-07-24 14:24:41,444]33root -INFO-data Transformation started
[.2025-07-24 14:24:41,444]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 14:24:41,444]65root -INFO-Starting data transformation
[.2025-07-24 14:24:41,481]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 14:24:41,481]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 14:24:41,506]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 14:24:41,510]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 14:24:41,510]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 14:24:41,517]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 14:24:41,519]37root -INFO-data Transformation completed
[.2025-07-24 14:24:41,519]39root -INFO-Model Training sstared
