[.2025-07-25 13:21:24,295]22root -INFO-Initiate the data ingestion
[.2025-07-25 13:21:26,389]68root -INFO-Performed train test split on the dataframe
[.2025-07-25 13:21:26,389]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-25 13:21:26,391]78root -INFO-Exporting train and test file path.
[.2025-07-25 13:21:26,466]87root -INFO-Exported train and test file path.
[.2025-07-25 13:21:26,466]24root -INFO-Data Initiation Completed
[.2025-07-25 13:21:26,472]28root -INFO-Initiate the data Validation
[.2025-07-25 13:21:26,640]32root -INFO-Required number of columns:2
[.2025-07-25 13:21:26,640]33root -INFO-Data frame has columns:31
[.2025-07-25 13:21:26,640]32root -INFO-Required number of columns:2
[.2025-07-25 13:21:26,642]33root -INFO-Data frame has columns:31
[.2025-07-25 13:21:26,840]30root -INFO-data Validation Completed
[.2025-07-25 13:21:26,840]33root -INFO-data Transformation started
[.2025-07-25 13:21:26,840]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-25 13:21:26,840]65root -INFO-Starting data transformation
[.2025-07-25 13:21:26,874]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-25 13:21:26,874]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-25 13:21:26,891]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 13:21:26,897]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 13:21:26,897]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 13:21:26,897]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 13:21:26,902]37root -INFO-data Transformation completed
[.2025-07-25 13:21:26,902]39root -INFO-Model Training sstared
[.2025-07-25 13:28:42,014]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 13:28:42,016]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 13:28:42,016]149root -INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_25_2025_13_21_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907735982966643, precision_score=0.9890688259109311, recall_score=0.9924842575665245), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9790322580645161, precision_score=0.9743178170144462, recall_score=0.9837925445705025))
[.2025-07-25 13:28:42,020]43root -INFO-Model Training artifact created
